Länskod;Länsnamn;Kommunkod ;Kommunnamn;Beteckning på tätort;x-koordinat;y-koordinat;x;y;;;;;;
01;Stockholm;0192;Nynäshamn;Stora Vika;660 261;6 538 380;660261;6538380;;;;;;
01;Stockholm;0192;Nynäshamn;Grödby;664 790;6 549 456;664790;6549456;;;;;;
01;Stockholm;0192;Nynäshamn;Oxnö och Svärdsö;663 659;6 529 579;663659;6529579;;;;;;
01;Stockholm;0192;Nynäshamn;Ösmo;666 601;6 541 943;666601;6541943;;;;;;
01;Stockholm;0192;Nynäshamn;Nynäshamn;669 716;6 533 509;669716;6533509;;;;;;
03;Uppsala;0305;Håbo;Vibyäng;640 384;6 604 002;640384;6604002;;;;;;
03;Uppsala;0305;Håbo;Häggeby och Vreta;643 307;6 615 687;643307;6615687;;;;;;
03;Uppsala;0305;Håbo;Krägga;634 905;6 610 551;634905;6610551;;;;;;
03;Uppsala;0305;Håbo;Råby;641 700;6 602 266;641700;6602266;;;;;;
03;Uppsala;0305;Håbo;Slottsskogen;646 741;6 619 798;646741;6619798;;;;;;
03;Uppsala;0305;Håbo;Söderskogen;645 866;6 618 246;645866;6618246;;;;;;
03;Uppsala;0305;Håbo;Kivinge;638 694;6 614 448;638694;6614448;;;;;;
03;Uppsala;0305;Håbo;Bålsta;642 257;6 605 177;642257;6605177;;;;;;
03;Uppsala;0319;Älvkarleby;Gårdskär;641 772;6 722 020;641772;6722020;;;;;;
03;Uppsala;0319;Älvkarleby;Marma;633 281;6 708 459;633281;6708459;;;;;;
03;Uppsala;0319;Älvkarleby;Älvkarleby;634 219;6 717 196;634219;6717196;;;;;;
03;Uppsala;0319;Älvkarleby;Älvkarleö;632 525;6 713 811;632525;6713811;;;;;;
03;Uppsala;0319;Älvkarleby;Skutskär;629 995;6 724 071;629995;6724071;;;;;;
03;Uppsala;0330;Knivsta;Alsike;655 736;6 627 189;655736;6627189;;;;;;
03;Uppsala;0330;Knivsta;Edeby;652 992;6 622 175;652992;6622175;;;;;;
03;Uppsala;0330;Knivsta;Knivsta;657 092;6 624 250;657092;6624250;;;;;;
03;Uppsala;0331;Heby;Harbo;622 204;6 665 347;622204;6665347;;;;;;
03;Uppsala;0331;Heby;Morgongåva;609 452;6 645 627;609452;6645627;;;;;;
03;Uppsala;0331;Heby;Tärnsjö;607 245;6 670 815;607245;6670815;;;;;;
03;Uppsala;0331;Heby;Vittinge;615 209;6 642 362;615209;6642362;;;;;;
03;Uppsala;0331;Heby;Östervåla;621 012;6 673 349;621012;6673349;;;;;;
03;Uppsala;0331;Heby;Heby;603 655;6 646 520;603655;6646520;;;;;;
03;Uppsala;0360;Tierp;Karlholmsbruk;643 061;6 712 048;643061;6712048;;;;;;
03;Uppsala;0360;Tierp;Mehedeby;632 163;6 703 905;632163;6703905;;;;;;
03;Uppsala;0360;Tierp;Månkarbo;636 434;6 679 373;636434;6679373;;;;;;
03;Uppsala;0360;Tierp;Skärplinge;651 414;6 706 895;651414;6706895;;;;;;
03;Uppsala;0360;Tierp;Söderfors;623 576;6 696 411;623576;6696411;;;;;;
03;Uppsala;0360;Tierp;Tobo;646 867;6 683 136;646867;6683136;;;;;;
03;Uppsala;0360;Tierp;Upplanda;651 361;6 679 576;651361;6679576;;;;;;
03;Uppsala;0360;Tierp;Örbyhus;649 971;6 680 232;649971;6680232;;;;;;
03;Uppsala;0360;Tierp;Tierp;638 714;6 692 756;638714;6692756;;;;;;
03;Uppsala;0380;Uppsala;Almunge;670 703;6 641 228;670703;6641228;;;;;;
03;Uppsala;0380;Uppsala;Björklinge;642 229;6 657 679;642229;6657679;;;;;;
03;Uppsala;0380;Uppsala;Jälla;652 747;6 644 279;652747;6644279;;;;;;
03;Uppsala;0380;Uppsala;Vänge;636 383;6 638 011;636383;6638011;;;;;;
03;Uppsala;0380;Uppsala;Bälinge;640 962;6 648 447;640962;6648447;;;;;;
03;Uppsala;0380;Uppsala;Bärby;657 733;6 639 002;657733;6639002;;;;;;
03;Uppsala;0380;Uppsala;Danmark;653 805;6 636 100;653805;6636100;;;;;;
03;Uppsala;0380;Uppsala;Funbo;660 707;6 638 541;660707;6638541;;;;;;
03;Uppsala;0380;Uppsala;Gunsta;659 040;6 638 174;659040;6638174;;;;;;
03;Uppsala;0380;Uppsala;Gåvsta;660 817;6 648 709;660817;6648709;;;;;;
03;Uppsala;0380;Uppsala;Håga;644 350;6 636 328;644350;6636328;;;;;;
03;Uppsala;0380;Uppsala;Järlåsa;623 171;6 640 685;623171;6640685;;;;;;
03;Uppsala;0380;Uppsala;Knutby;682 328;6 645 601;682328;6645601;;;;;;
03;Uppsala;0380;Uppsala;Läby;642 082;6 664 181;642082;6664181;;;;;;
03;Uppsala;0380;Uppsala;Länna;663 918;6 640 808;663918;6640808;;;;;;
03;Uppsala;0380;Uppsala;Lövstalöt;644 025;6 649 491;644025;6649491;;;;;;
03;Uppsala;0380;Uppsala;Selknä och Marielund;661 634;6 637 794;661634;6637794;;;;;;
03;Uppsala;0380;Uppsala;Ramstalund;637 096;6 631 446;637096;6631446;;;;;;
03;Uppsala;0380;Uppsala;Skyttorp;652 149;6 663 399;652149;6663399;;;;;;
03;Uppsala;0380;Uppsala;Skölsta;653 755;6 640 898;653755;6640898;;;;;;
03;Uppsala;0380;Uppsala;Storvreta;651 067;6 649 695;651067;6649695;;;;;;
03;Uppsala;0380;Uppsala;Sävja;651 668;6 633 901;651668;6633901;;;;;;
03;Uppsala;0380;Uppsala;Blackstalund;632 602;6 649 915;632602;6649915;;;;;;
03;Uppsala;0380;Uppsala;Ultuna;648 403;6 633 994;648403;6633994;;;;;;
03;Uppsala;0380;Uppsala;Vattholma;652 227;6 656 654;652227;6656654;;;;;;
03;Uppsala;0380;Uppsala;Ytternäs och Vreta;645 932;6 628 906;645932;6628906;;;;;;
03;Uppsala;0380;Uppsala;Vångelsta;642 110;6 632 779;642110;6632779;;;;;;
03;Uppsala;0380;Uppsala;Sydöstra Fullerö;649 441;6 647 928;649441;6647928;;;;;;
03;Uppsala;0380;Uppsala;Uppsala;642 889;6 636 723;642889;6636723;;;;;;
03;Uppsala;0381;Enköping;Fjärdhundra;607 696;6 627 968;607696;6627968;;;;;;
03;Uppsala;0381;Enköping;Grillby;627 407;6 611 889;627407;6611889;;;;;;
03;Uppsala;0381;Enköping;Haga;615 777;6 609 147;615777;6609147;;;;;;
03;Uppsala;0381;Enköping;Hummelsta;609 645;6 611 469;609645;6611469;;;;;;
03;Uppsala;0381;Enköping;Lillkyrka;626 892;6 604 418;626892;6604418;;;;;;
03;Uppsala;0381;Enköping;Bredsand;617 231;6 606 943;617231;6606943;;;;;;
03;Uppsala;0381;Enköping;Örsundsbro;629 747;6 623 939;629747;6623939;;;;;;
03;Uppsala;0381;Enköping;Örsundsbro norra;630 799;6 625 096;630799;6625096;;;;;;
03;Uppsala;0381;Enköping;Märsön;613 265;6 599 594;613265;6599594;;;;;;
03;Uppsala;0381;Enköping;Skolsta;626 445;6 615 418;626445;6615418;;;;;;
03;Uppsala;0381;Enköping;Enköping;618 657;6 613 087;618657;6613087;;;;;;
03;Uppsala;0382;Östhammar;Alunda;670 915;6 662 868;670915;6662868;;;;;;
03;Uppsala;0382;Östhammar;Dannemora;658 446;6 677 643;658446;6677643;;;;;;
03;Uppsala;0382;Östhammar;Gimo;676 485;6 674 896;676485;6674896;;;;;;
03;Uppsala;0382;Östhammar;Hargshamn;692 706;6 675 004;692706;6675004;;;;;;
03;Uppsala;0382;Östhammar;Skoby;668 249;6 658 537;668249;6658537;;;;;;
03;Uppsala;0382;Östhammar;Öregrund;690 056;6 693 291;690056;6693291;;;;;;
03;Uppsala;0382;Östhammar;Österbybruk;660 405;6 676 947;660405;6676947;;;;;;
03;Uppsala;0382;Östhammar;Östhammar;685 953;6 684 981;685953;6684981;;;;;;
04;Södermanland;0428;Vingåker;Baggetorp;562 449;6 541 129;562449;6541129;;;;;;
04;Södermanland;0428;Vingåker;Högsjö;538 356;6 543 111;538356;6543111;;;;;;
04;Södermanland;0428;Vingåker;Marmorbyn;561 384;6 545 722;561384;6545722;;;;;;
04;Södermanland;0428;Vingåker;Läppe;545 419;6 554 719;545419;6554719;;;;;;
04;Södermanland;0428;Vingåker;Vingåker;550 410;6 545 904;550410;6545904;;;;;;
04;Södermanland;0461;Gnesta;Björnlunda;623 782;6 548 985;623782;6548985;;;;;;
04;Södermanland;0461;Gnesta;Stjärnhov;614 641;6 550 687;614641;6550687;;;;;;
04;Södermanland;0461;Gnesta;Gnesta;632 204;6 547 583;632204;6547583;;;;;;
04;Södermanland;0480;Nyköping;Bergshammar;610 775;6 512 712;610775;6512712;;;;;;
04;Södermanland;0480;Nyköping;Buskhyttan;612 485;6 503 923;612485;6503923;;;;;;
04;Södermanland;0480;Nyköping;Enstaberga;607 310;6 513 850;607310;6513850;;;;;;
04;Södermanland;0480;Nyköping;Jönåker;599 876;6 512 833;599876;6512833;;;;;;
04;Södermanland;0480;Nyköping;Kvegerö;636 382;6 534 405;636382;6534405;;;;;;
04;Södermanland;0480;Nyköping;Nävekvarn;604 057;6 500 463;604057;6500463;;;;;;
04;Södermanland;0480;Nyköping;Sjösa;620 778;6 517 211;620778;6517211;;;;;;
04;Södermanland;0480;Nyköping;Skeppsvik och Sjöskogen;606 352;6 499 860;606352;6499860;;;;;;
04;Södermanland;0480;Nyköping;Stavsjö;583 071;6 510 834;583071;6510834;;;;;;
04;Södermanland;0480;Nyköping;Stigtomta;602 989;6 519 481;602989;6519481;;;;;;
04;Södermanland;0480;Nyköping;Svalsta;608 259;6 512 908;608259;6512908;;;;;;
04;Södermanland;0480;Nyköping;Tystberga;629 196;6 525 759;629196;6525759;;;;;;
04;Södermanland;0480;Nyköping;Vrena;598 030;6 525 843;598030;6525843;;;;;;
04;Södermanland;0480;Nyköping;Ålberga;591 299;6 510 476;591299;6510476;;;;;;
04;Södermanland;0480;Nyköping;Örstig;620 302;6 511 492;620302;6511492;;;;;;
04;Södermanland;0480;Nyköping;Nyköping;617 246;6 513 692;617246;6513692;;;;;;
04;Södermanland;0481;Oxelösund;Inskogen;618 561;6 507 095;618561;6507095;;;;;;
04;Södermanland;0481;Oxelösund;Oxelösund;620 779;6 505 306;620779;6505306;;;;;;
04;Södermanland;0482;Flen;Bettna;594 665;6 530 509;594665;6530509;;;;;;
04;Södermanland;0482;Flen;Hälleforsnäs;585 932;6 558 076;585932;6558076;;;;;;
04;Södermanland;0482;Flen;Malmköping;599 024;6 556 258;599024;6556258;;;;;;
